method	axis	cohort	rationale	n_samples	n_positive_genes_available	n_negative_genes_available	positive_genes_available	negative_genes_available	context
cohort_gene_percentile	MAP4K1_CXCL9_minus_TBX3	PHS000452_LIU_LIKE_PRE	tcell_ifn_extension_of_pair	103	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	GSE91061	antigen_presentation_extension_of_pair	33	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	GSE78220	antigen_presentation_extension_of_pair	27	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	PRJEB23709_PD1_PRE	antigen_presentation_extension_of_pair	35	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	GSE145996	antigen_presentation_extension_of_pair	13	2	1	MAP4K1,B2M	TBX3	strict_external
cohort_gene_percentile	MAP4K1_APM_minus_TBX3	PHS000452_LIU_LIKE_PRE	antigen_presentation_extension_of_pair	103	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3	GSE91061	literature_pair_tumor_immune_balance	33	1	1	MAP4K1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3	GSE78220	literature_pair_tumor_immune_balance	27	1	1	MAP4K1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	literature_pair_tumor_immune_balance	35	1	1	MAP4K1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3	GSE145996	literature_pair_tumor_immune_balance	13	1	1	MAP4K1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3	PHS000452_LIU_LIKE_PRE	literature_pair_tumor_immune_balance	103	1	1	MAP4K1	TBX3	strict_external
cohort_zscore	MAP4K1_minus_TBX3_AXL	GSE91061	literature_pair_plus_ipres_dedifferentiation_axis	33	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_zscore	MAP4K1_minus_TBX3_AXL	GSE78220	literature_pair_plus_ipres_dedifferentiation_axis	27	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_zscore	MAP4K1_minus_TBX3_AXL	PRJEB23709_PD1_PRE	literature_pair_plus_ipres_dedifferentiation_axis	35	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_zscore	MAP4K1_minus_TBX3_AXL	GSE145996	literature_pair_plus_ipres_dedifferentiation_axis	13	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_zscore	MAP4K1_minus_TBX3_AXL	PHS000452_LIU_LIKE_PRE	literature_pair_plus_ipres_dedifferentiation_axis	103	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_zscore	MAP4K1_minus_TBX3_PAK4	GSE91061	literature_pair_plus_wnt_pak4_resistance_axis	33	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_zscore	MAP4K1_minus_TBX3_PAK4	GSE78220	literature_pair_plus_wnt_pak4_resistance_axis	27	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_zscore	MAP4K1_minus_TBX3_PAK4	PRJEB23709_PD1_PRE	literature_pair_plus_wnt_pak4_resistance_axis	35	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_zscore	MAP4K1_minus_TBX3_PAK4	GSE145996	literature_pair_plus_wnt_pak4_resistance_axis	13	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_zscore	MAP4K1_minus_TBX3_PAK4	PHS000452_LIU_LIKE_PRE	literature_pair_plus_wnt_pak4_resistance_axis	103	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	GSE91061	tcell_ifn_extension_of_pair	33	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	GSE78220	tcell_ifn_extension_of_pair	27	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	PRJEB23709_PD1_PRE	tcell_ifn_extension_of_pair	35	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	GSE145996	tcell_ifn_extension_of_pair	13	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_zscore	MAP4K1_CXCL9_minus_TBX3	PHS000452_LIU_LIKE_PRE	tcell_ifn_extension_of_pair	103	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_zscore	MAP4K1_APM_minus_TBX3	GSE91061	antigen_presentation_extension_of_pair	33	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_zscore	MAP4K1_APM_minus_TBX3	GSE78220	antigen_presentation_extension_of_pair	27	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_zscore	MAP4K1_APM_minus_TBX3	PRJEB23709_PD1_PRE	antigen_presentation_extension_of_pair	35	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_zscore	MAP4K1_APM_minus_TBX3	GSE145996	antigen_presentation_extension_of_pair	13	2	1	MAP4K1,B2M	TBX3	strict_external
cohort_zscore	MAP4K1_APM_minus_TBX3	PHS000452_LIU_LIKE_PRE	antigen_presentation_extension_of_pair	103	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3	GSE91061	literature_pair_tumor_immune_balance	33	1	1	MAP4K1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3	GSE78220	literature_pair_tumor_immune_balance	27	1	1	MAP4K1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	literature_pair_tumor_immune_balance	35	1	1	MAP4K1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3	GSE145996	literature_pair_tumor_immune_balance	13	1	1	MAP4K1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3	PHS000452_LIU_LIKE_PRE	literature_pair_tumor_immune_balance	103	1	1	MAP4K1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	GSE91061	literature_pair_plus_ipres_dedifferentiation_axis	33	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	GSE78220	literature_pair_plus_ipres_dedifferentiation_axis	27	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	PRJEB23709_PD1_PRE	literature_pair_plus_ipres_dedifferentiation_axis	35	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	GSE145996	literature_pair_plus_ipres_dedifferentiation_axis	13	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_AXL	PHS000452_LIU_LIKE_PRE	literature_pair_plus_ipres_dedifferentiation_axis	103	1	2	MAP4K1	TBX3,AXL	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	GSE91061	literature_pair_plus_wnt_pak4_resistance_axis	33	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	GSE78220	literature_pair_plus_wnt_pak4_resistance_axis	27	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	PRJEB23709_PD1_PRE	literature_pair_plus_wnt_pak4_resistance_axis	35	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	GSE145996	literature_pair_plus_wnt_pak4_resistance_axis	13	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_robust_zscore	MAP4K1_minus_TBX3_PAK4	PHS000452_LIU_LIKE_PRE	literature_pair_plus_wnt_pak4_resistance_axis	103	1	2	MAP4K1	TBX3,PAK4	strict_external
cohort_robust_zscore	MAP4K1_CXCL9_minus_TBX3	GSE91061	tcell_ifn_extension_of_pair	33	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_robust_zscore	MAP4K1_CXCL9_minus_TBX3	GSE78220	tcell_ifn_extension_of_pair	27	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_robust_zscore	MAP4K1_CXCL9_minus_TBX3	PRJEB23709_PD1_PRE	tcell_ifn_extension_of_pair	35	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_robust_zscore	MAP4K1_CXCL9_minus_TBX3	GSE145996	tcell_ifn_extension_of_pair	13	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_robust_zscore	MAP4K1_CXCL9_minus_TBX3	PHS000452_LIU_LIKE_PRE	tcell_ifn_extension_of_pair	103	2	1	MAP4K1,CXCL9	TBX3	strict_external
cohort_robust_zscore	MAP4K1_APM_minus_TBX3	GSE91061	antigen_presentation_extension_of_pair	33	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_APM_minus_TBX3	GSE78220	antigen_presentation_extension_of_pair	27	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_APM_minus_TBX3	PRJEB23709_PD1_PRE	antigen_presentation_extension_of_pair	35	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
cohort_robust_zscore	MAP4K1_APM_minus_TBX3	GSE145996	antigen_presentation_extension_of_pair	13	2	1	MAP4K1,B2M	TBX3	strict_external
cohort_robust_zscore	MAP4K1_APM_minus_TBX3	PHS000452_LIU_LIKE_PRE	antigen_presentation_extension_of_pair	103	4	1	MAP4K1,HLA-A,B2M,TAP1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3	GSE91061	literature_pair_tumor_immune_balance	33	1	1	MAP4K1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3	GSE78220	literature_pair_tumor_immune_balance	27	1	1	MAP4K1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3	PRJEB23709_PD1_PRE	literature_pair_tumor_immune_balance	35	1	1	MAP4K1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3	GSE145996	literature_pair_tumor_immune_balance	13	1	1	MAP4K1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3	PHS000452_LIU_LIKE_PRE	literature_pair_tumor_immune_balance	103	1	1	MAP4K1	TBX3	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_AXL	GSE91061	literature_pair_plus_ipres_dedifferentiation_axis	33	1	2	MAP4K1	TBX3,AXL	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_AXL	GSE78220	literature_pair_plus_ipres_dedifferentiation_axis	27	1	2	MAP4K1	TBX3,AXL	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_AXL	PRJEB23709_PD1_PRE	literature_pair_plus_ipres_dedifferentiation_axis	35	1	2	MAP4K1	TBX3,AXL	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_AXL	GSE145996	literature_pair_plus_ipres_dedifferentiation_axis	13	1	2	MAP4K1	TBX3,AXL	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_AXL	PHS000452_LIU_LIKE_PRE	literature_pair_plus_ipres_dedifferentiation_axis	103	1	2	MAP4K1	TBX3,AXL	strict_external
sample_gene_rank	MAP4K1_minus_TBX3_PAK4	GSE91061	literature_pair_plus_wnt_pak4_resistance_axis	33	1	2	MAP4K1	TBX3,PAK4	strict_external
